DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/05/2016,8:00,BROOKLYN,11206,40.7033747,-73.9376305,"(40.7033747, -73.9376305)",BUSHWICK AVENUE                 ,VARET STREET                    ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3365500,SPORT UTILITY / STATION WAGON,VAN,,,
01/05/2016,8:00,BROOKLYN,11206,40.7033747,-73.9376305,"(40.7033747, -73.9376305)",BUSHWICK AVENUE                 ,VARET STREET                    ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3365498,SPORT UTILITY / STATION WAGON,VAN,,,
01/05/2016,8:00,BRONX,10462,40.8334144,-73.8590554,"(40.8334144, -73.8590554)",WESTCHESTER AVENUE              ,CROSS BRONX EXPRESSWAY          ,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3365220,PASSENGER VEHICLE,OTHER,,,
01/05/2016,8:00,BRONX,10451,40.830915,-73.9204622,"(40.830915, -73.9204622)",GRAND CONCOURSE                 ,EAST 156 STREET                 ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3365229,SPORT UTILITY / STATION WAGON,LIVERY VEHICLE,,,
01/05/2016,7:59,MANHATTAN,10019,40.7610362,-73.9870157,"(40.7610362, -73.9870157)",WEST 48 STREET                  ,8 AVENUE                        ,,0,0,0,0,0,0,0,0,Other Vehicular,Fatigued/Drowsy,,,,3365118,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,7:55,BROOKLYN,11228,40.6186898,-74.0126792,"(40.6186898, -74.0126792)",12 AVENUE                       ,80 STREET                       ,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3365357,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,7:52,QUEENS,11101,40.7471204,-73.9423823,"(40.7471204, -73.9423823)",JACKSON AVENUE                  ,44 DRIVE                        ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3365630,PASSENGER VEHICLE,,,,
01/05/2016,7:45,,,,,,,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3365211,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
01/05/2016,7:45,,,,,,HAMILTON AVENUE                 ,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3592343,SPORT UTILITY / STATION WAGON,,,,
01/05/2016,7:45,QUEENS,11423,40.7094186,-73.7748929,"(40.7094186, -73.7748929)",JAMAICA AVENUE                  ,184 PLACE                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3365546,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,7:40,,,,,,WASHINGTON AVENUE               ,3 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365201,UNKNOWN,PASSENGER VEHICLE,,,
01/05/2016,7:32,MANHATTAN,10128,40.7820551,-73.9537191,"(40.7820551, -73.9537191)",LEXINGTON AVENUE                ,EAST 90 STREET                  ,,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,3365132,SPORT UTILITY / STATION WAGON,TAXI,,,
01/05/2016,7:31,BROOKLYN,11206,40.6973167,-73.9322699,"(40.6973167, -73.9322699)",BUSHWICK AVENUE                 ,MYRTLE AVENUE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365471,PASSENGER VEHICLE,BUS,,,
01/05/2016,7:30,BROOKLYN,11236,40.6456145,-73.9098906,"(40.6456145, -73.9098906)",EAST 92 STREET                  ,FOSTER AVENUE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366040,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,7:25,BROOKLYN,11212,40.6571755,-73.9210658,"(40.6571755, -73.9210658)",KINGS HIGHWAY                   ,EAST 93 STREET                  ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3365347,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,7:20,BROOKLYN,11211,40.7144568,-73.9352898,"(40.7144568, -73.9352898)",METROPOLITAN AVENUE             ,MORGAN AVENUE                   ,,3,0,0,0,0,0,3,0,Lost Consciousness,,,,,3365495,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,
01/05/2016,7:16,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365651,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,7:15,,,40.6051344,-74.0723541,"(40.6051344, -74.0723541)",,,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3366369,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,7:15,QUEENS,11419,40.6876692,-73.8116913,"(40.6876692, -73.8116913)",101 AVENUE                      ,133 STREET                      ,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3366178,UNKNOWN,,,,
01/05/2016,7:15,QUEENS,11413,40.6821446,-73.7463032,"(40.6821446, -73.7463032)",131 AVENUE                      ,221 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365560,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,7:15,BROOKLYN,11212,40.6547385,-73.9069229,"(40.6547385, -73.9069229)",ROCKAWAY AVENUE                 ,LINDEN BOULEVARD                ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3366079,VAN,BUS,,,
01/05/2016,7:15,BRONX,10460,40.8357057,-73.8887453,"(40.8357057, -73.8887453)",EAST 173 STREET                 ,SOUTHERN BOULEVARD              ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365902,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,7:10,BRONX,10458,40.8607327,-73.8895349,"(40.8607327, -73.8895349)",,,F/O 441 E FORDHAM RD                    ,0,0,0,0,0,0,0,0,Brakes Defective,,,,,3365263,SMALL COM VEH(4 TIRES) ,,,,
01/05/2016,7:10,BRONX,10455,40.8113299,-73.9007723,"(40.8113299, -73.9007723)",BRUCKNER BOULEVARD              ,AUSTIN PLACE                    ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3365192,OTHER,SPORT UTILITY / STATION WAGON,,,
01/05/2016,7:09,BROOKLYN,11216,40.6708977,-73.953187,"(40.6708977, -73.953187)",LINCOLN PLACE                   ,ROGERS AVENUE                   ,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3365441,PICK-UP TRUCK,PASSENGER VEHICLE,,,
01/05/2016,7:03,BRONX,10474,40.8192693,-73.8848563,"(40.8192693, -73.8848563)",WHITTIER STREET                 ,SENECA AVENUE                   ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Traffic Control Disregarded,,,,3365198,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
